id,year,district_code,district_name,dong_code,dong_name,lot_type_code,lot_type,main_no,sub_no,building_name,contract_day,price,arch_area,land_area,floor,built_year,housing_type,deal_type,address,latitude,longitude
745,2025,11215,광진구,10500,자양동,1,대지,593,27,한영그린빌,2025-04-19,810000000,46.38,28.0,6.0,2015.0,연립다세대,중개거래,서울특별시 광진구 자양동 0593-0027 한영그린빌,37.5301698011843,127.076377537785
746,2025,11215,광진구,10300,구의동,1,대지,71,6,한영해시안아파트,2025-04-08,645000000,59.8,0.0,10.0,2020.0,아파트,중개거래,서울특별시 광진구 구의동 0071-0006 한영해시안아파트,37.5489172581789,127.089948891857
747,2025,11215,광진구,10100,중곡동,1,대지,97,8,한울터,2025-07-06,230000000,38.68,23.0,3.0,2011.0,연립다세대,중개거래,서울특별시 광진구 중곡동 0097-0008 한울터,37.5551609631655,127.09116293207
748,2025,11215,광진구,10100,중곡동,1,대지,233,69,한울프라이빗,2025-04-14,440000000,44.91,38.0,5.0,2021.0,연립다세대,중개거래,서울특별시 광진구 중곡동 0233-0069 한울프라이빗,37.5644789185525,127.078591401223
749,2025,11215,광진구,10100,중곡동,1,대지,123,2,한울피렌체(123-2),2025-04-20,227000000,21.9,16.0,4.0,2015.0,연립다세대,중개거래,서울특별시 광진구 중곡동 0123-0002 한울피렌체(123-2),37.5573950652967,127.087727811386
750,2025,11215,광진구,10300,구의동,1,대지,641,8,한일트윈빌A,2025-06-14,512000000,76.18,37.0,4.0,2004.0,연립다세대,중개거래,서울특별시 광진구 구의동 0641-0008 한일트윈빌A,37.5434937534537,127.081817601926
751,2025,11215,광진구,10500,자양동,1,대지,694,3,한창주택2동,2025-05-14,1043000000,83.29,67.0,1.0,1983.0,연립다세대,중개거래,서울특별시 광진구 자양동 0694-0003 한창주택2동,37.5334450169164,127.089006630934
752,2025,11215,광진구,10500,자양동,1,대지,853,0,한화꿈에그린,2025-03-18,2130000000,138.68,0.0,8.0,2006.0,아파트,중개거래,서울특별시 광진구 자양동 0853-0000 한화꿈에그린,37.5336376083461,127.061846609299
753,2025,11215,광진구,10500,자양동,1,대지,478,1,해비치빌,2025-06-14,540000000,58.92,36.0,5.0,2009.0,연립다세대,중개거래,서울특별시 광진구 자양동 0478-0001 해비치빌,37.5315799136534,127.071408629528
754,2025,11215,광진구,10100,중곡동,1,대지,288,28,해성빌라(288-28),2025-06-14,250000000,44.25,28.0,2.0,2002.0,연립다세대,중개거래,서울특별시 광진구 중곡동 0288-0028 해성빌라(288-28),37.5698816104589,127.08711897568
755,2025,11215,광진구,10300,구의동,1,대지,226,21,해피하우스,2025-03-07,320000000,28.8,20.0,3.0,2018.0,연립다세대,중개거래,서울특별시 광진구 구의동 0226-0021 해피하우스,37.5432615659281,127.089991884683
756,2025,11215,광진구,10100,중곡동,1,대지,47,5,행복한집(47-5),2025-02-12,320000000,41.95,25.0,3.0,2011.0,연립다세대,직거래,서울특별시 광진구 중곡동 0047-0005 행복한집(47-5),37.5600029612146,127.081627173047
757,2025,11215,광진구,10500,자양동,1,대지,772,19,헤렌하우스(772-19),2025-06-07,650000000,29.9,26.0,3.0,2018.0,연립다세대,중개거래,서울특별시 광진구 자양동 0772-0019 헤렌하우스(772-19),37.5384434802504,127.079961667276
758,2025,11215,광진구,10300,구의동,1,대지,199,23,현대13차폴라트리움,2025-06-21,1450000000,84.85,0.0,18.0,2006.0,아파트,중개거래,서울특별시 광진구 구의동 0199-0023 현대13차폴라트리움,37.539418435938,127.094611329543
759,2025,11215,광진구,10400,광장동,1,대지,484,0,현대3,2025-01-04,985000000,59.67,0.0,1.0,1990.0,아파트,중개거래,서울특별시 광진구 광장동 0484-0000 현대3,37.5406210672303,127.098604360419
760,2025,11215,광진구,10400,광장동,1,대지,554,7,현대5,2025-03-09,1800000000,84.56,0.0,6.0,1989.0,아파트,중개거래,서울특별시 광진구 광장동 0554-0007 현대5,37.5397148467697,127.100097759202
761,2025,11215,광진구,10400,광장동,1,대지,565,0,"현대8(801동,802동)",2025-05-24,1610000000,84.92,0.0,11.0,1995.0,아파트,중개거래,"서울특별시 광진구 광장동 0565-0000 현대8(801동,802동)",37.541939865593,127.099671092254
762,2025,11215,광진구,10400,광장동,1,대지,569,0,현대8(803동),2025-05-30,1345000000,59.94,0.0,23.0,1996.0,아파트,중개거래,서울특별시 광진구 광장동 0569-0000 현대8(803동),37.5416047961619,127.098475191227
763,2025,11215,광진구,10500,자양동,1,대지,673,0,현대강변,2025-06-13,1190000000,82.08,0.0,4.0,1991.0,아파트,중개거래,서울특별시 광진구 자양동 0673-0000 현대강변,37.5284372034525,127.085909787145
764,2025,11215,광진구,10400,광장동,1,대지,102,0,현대골든텔,2025-01-10,290000000,26.73,36.58,6.0,1991.0,오피스텔,중개거래,서울특별시 광진구 광장동 0102-0000 현대골든텔,37.5516194181635,127.110947204792
765,2025,11215,광진구,10500,자양동,1,대지,679,7,현대그랑빌,2025-01-20,600000000,64.02,30.0,2.0,2003.0,연립다세대,중개거래,서울특별시 광진구 자양동 0679-0007 현대그랑빌,37.53205570176,127.084679941568
766,2025,11215,광진구,10500,자양동,1,대지,775,3,현대그린빌,2025-05-10,530000000,43.62,25.0,1.0,2002.0,연립다세대,중개거래,서울특별시 광진구 자양동 0775-0003 현대그린빌,37.5382039791356,127.079984267276
767,2025,11215,광진구,10100,중곡동,1,대지,599,2,현대그린타운,2025-06-02,278000000,65.93,29.0,2.0,1997.0,연립다세대,중개거래,서울특별시 광진구 중곡동 0599-0002 현대그린타운,37.5707098741828,127.088118559191
768,2025,11215,광진구,10300,구의동,1,대지,210,19,현대로얄빌라,2025-05-27,447000000,70.74,47.0,3.0,1997.0,연립다세대,중개거래,서울특별시 광진구 구의동 0210-0019 현대로얄빌라,37.5401620291758,127.09187505231
769,2025,11215,광진구,10500,자양동,1,대지,586,1,현대맨숀(586-1),2025-05-10,1400000000,74.22,59.0,2.0,1981.0,연립다세대,중개거래,서울특별시 광진구 자양동 0586-0001 현대맨숀(586-1),37.5317357372716,127.073544814041
770,2025,11215,광진구,10300,구의동,1,대지,233,25,현대빌라(233-25),2025-07-01,395000000,70.12,37.0,4.0,1992.0,연립다세대,중개거래,서울특별시 광진구 구의동 0233-0025 현대빌라(233-25),37.544563098291,127.087785419214
771,2025,11215,광진구,10300,구의동,1,대지,239,115,현대빌라(239-115),2025-02-11,180000000,48.78,21.0,-1.0,1995.0,연립다세대,중개거래,서울특별시 광진구 구의동 0239-0115 현대빌라(239-115),37.5417904699469,127.08739858072
772,2025,11215,광진구,10100,중곡동,1,대지,35,2,현대빌라(35-2),2025-06-18,385000000,66.97,29.0,3.0,2001.0,연립다세대,중개거래,서울특별시 광진구 중곡동 0035-0002 현대빌라(35-2),37.5621173406993,127.08629954075
773,2025,11215,광진구,10300,구의동,1,대지,60,2,현대빌라(60-2),2025-05-27,345000000,52.65,27.0,1.0,1997.0,연립다세대,중개거래,서울특별시 광진구 구의동 0060-0002 현대빌라(60-2),37.5481332175872,127.092733665131
